충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
청평면사무소,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 청평면 은고개로 19,경기도 가평군 청평면 청평리 333-1번지,한국자동차 환경협회,1661-9408,37.7404626,127.4241417,2019-05-14
가평군청,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 석봉로 181,경기도 가평군 가평읍 읍내리 513번지,한국자동차 환경협회,1661-9408,37.8310576,127.509531,2019-05-14
가평읍사무소,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 가화로 62,경기도 가평군 가평읍 읍내리 366번지,한국전기차충전서비스,1522-1782,37.8253638,127.5165387,2019-05-14
가평환경성질환 예방관리센터,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 상면 수목원로 300-56,경기도 가평군 상면 행현리 696번지,한국자동차 환경협회,1661-9408,37.7696008,127.332899,2019-05-14
조종면사무소,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 조종면 조종내길 71,경기도 가평군 조종면 현리 567-7번지,한국전력,1899-2100,37.8177213,127.3531875,2019-05-14
상면사무소,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 상면 청군로 1105,경기도 가평군 상면 연하리 171-1번지,한국전력,1899-2100,37.8047464,127.3571545,2019-05-14
가평군농업기술센터,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100번지,지엔텔,1544-4297,37.8461842,127.4978147,2019-05-14
설악면사무소,외부 주차장,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 설악면 한서로 8,경기도 가평군 설악면 신천리 156-1번지,한국전력,1899-2100,37.6762190,127.4947045,2019-05-14
고양시 이마트(일산점),본관B2층 G6구역,경기도,연중무휴,00:00,24:00,Y,N,듀얼타입,2,0,N,경기도 고양시 일산동구 중앙로 1124,경기도 고양시 일산동구 백석동 1194번지 흰돌마을1단지아파트,포스코ICT,1600-4047,37.64808727,126.7822564,2019-06-19
능곡주민센터,지상1층주차장,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 토당로 83,경기도 고양시 덕양구 토당동 335-4번지,한국전력공사,1661-9408,37.62269327,126.8180348,2019-06-19
고양시 이마트(화정점),본관4층 1구역,경기도,연중무휴,00:00,24:00,Y,N,듀얼타입,2,0,N,경기도 고양시 덕양구 백양로 79,경기도 고양시 덕양구 화정동 976번지,포스코ICT,1600-4047,37.632612,126.8333997,2019-06-19
고양시 이마트(덕이점),본관2층 C6구역,경기도,연중무휴,00:00,24:00,Y,N,듀얼타입,2,0,N,경기도 고양시 일산서구 경의로 798,경기도 고양시 일산서구 덕이동 205번지,포스코ICT,1600-4047,37.68850224,126.7603068,2019-06-19
덕양구청 주차장,입구 좌측,경기도,연중무휴,00:00,24:00,N,Y,듀얼타입,0,1,N,경기도 고양시 덕양구 화중로104번길 13,경기도 고양시 덕양구 화정동 955번지,한국자동차환경협회,1661-9409,37.63746533,126.8322924,2019-06-19
